chip_path,score,pbr,bright_frac,tail_snr
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r03058_c07726.png,2394,88.0,0.000416,1.0345
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r06386_c07470.png,2305,88.0,0.001484,1.0345
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r04594_c07214.png,2246,88.0,0.000214,1.0345
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07154_c03118.png,3703,87.0,0.019711,1.0345
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r06642_c06702.png,3080,87.0,0.013515,1.0345
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r08690_c03118.png,2984,87.0,0.012878,1.0345
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r04594_c07726.png,2446,87.0,0.000816,1.0345
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r08178_c04654.png,2323,87.0,0.000576,1.0345
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r04082_c06958.png,2266,87.0,0.001049,1.0345
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07154_c07470.png,2272,92.0,1.1e-05,1.0339
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07410_c05934.png,3080,90.0,0.013012,1.0339
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07154_c07982.png,2321,90.0,0.0,1.0339
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r03058_c06958.png,2190,90.0,0.001865,1.0339
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r08690_c06446.png,2260,89.0,0.001904,1.0339
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r04850_c06958.png,2212,89.0,0.001286,1.0339
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r08690_c06702.png,2280,88.0,0.002979,1.0339
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r05106_c07214.png,2245,88.0,0.000633,1.0339
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r08434_c05678.png,2350,93.0,4e-06,1.0333
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r08690_c03374.png,2866,91.0,0.009609,1.0333
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r06642_c06958.png,2471,91.0,0.005692,1.0333
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07666_c07214.png,2189,92.0,0.000156,1.0328
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07410_c07214.png,2215,91.0,7.2e-05,1.0328
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r08434_c05934.png,2256,95.0,3.8e-05,1.0323
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r08434_c03374.png,3353,94.0,0.014225,1.0323
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r08178_c03886.png,2498,94.0,0.005295,1.0323
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r06898_c06958.png,2262,93.0,0.002556,1.0323
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07666_c07470.png,2193,95.0,0.000187,1.0317
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07410_c06446.png,2426,104.0,0.003437,1.029
