chip_path,score,pbr,bright_frac,tail_snr
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r07006_c12913.png,2632,92.0,0.000324,1.0508
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r08286_c11889.png,2555,92.0,0.000385,1.0508
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r05214_c11633.png,4478,97.0,0.020893,1.0492
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r06238_c12657.png,2830,95.0,0.006172,1.0492
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r08798_c15217.png,2786,95.0,0.006767,1.0492
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r08030_c13169.png,2697,95.0,0.000694,1.0492
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r07262_c13681.png,2833,94.0,0.007545,1.0492
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r05982_c12913.png,2769,94.0,0.007442,1.0492
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r07006_c13681.png,2643,94.0,0.005882,1.0492
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r04702_c11377.png,5559,92.0,0.028797,1.0492
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r07774_c13681.png,2542,92.0,0.002335,1.0492
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r09054_c13681.png,2528,92.0,0.001789,1.0492
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r08286_c13169.png,2682,89.0,0.000614,1.0492
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r08798_c14705.png,4086,98.0,0.019707,1.0484
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r05214_c14193.png,2541,101.0,0.002254,1.0476
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r06494_c12657.png,2669,97.0,0.004963,1.0476
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r04446_c13169.png,4824,95.0,0.025757,1.0476
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r06750_c13169.png,2565,95.0,0.001965,1.0476
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r07262_c13169.png,2523,95.0,0.001881,1.0476
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r08542_c14705.png,3426,99.0,0.013073,1.0455
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r04446_c12913.png,3204,99.0,0.01268,1.0455
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r04702_c12913.png,3195,99.0,0.011963,1.0455
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r07518_c14449.png,2641,108.0,0.003273,1.0429
